"UID_fes2","fes2_EE22_Q01A","fes2_EE22_Q01B","fes2_EE22_Q02A","fes2_EE22_Q02B","fes2_EE22_Q03_A_P","fes2_EE22_Q03_B_P","fes2_EE22_Q05_1","fes2_EE22_Q05_2","fes2_EE22_Q05_3","fes2_EE22_Q05_4","fes2_EE22_Q05_5","fes2_EE22_Q08_1","fes2_EE22_Q08_2","fes2_EE22_Q08_3","fes2_EE22_Q08_4","fes2_EE22_Q08_5","fes2_EE22_Q08_6","fes2_EE22_Q08_7","fes2_EE22_Q03_A_N","fes2_EE22_Q03_B_N","fes2_EE22_Q04","fes2_EE22_Q06","fes2_EE22_Q07","fes2_EE22_Q09","fes2_EE22_Q10G","fes2_EE22_Q10A","fes2_EE22_Q10J","fes2_EE22_Q10E","fes2_EE22_Q10B","fes2_EE22_Q10D","fes2_EE22_Q10H","fes2_EE22_Q10L","fes2_EE22_Q10K","fes2_EE22_Q10C","fes2_EE22_Q11A","fes2_EE22_Q11B","fes2_EE22_Q11C","fes2_EE22_Q11D","fes2_EE22_Q11E","fes2_EE22_Q11G","fes2_EE22_Q11H","fes2_EE22_Q11J","fes2_EE22_Q11L","fes2_EE22_Q11K","fes2_EE22_Q12","fes2_EE22_Q15","fes2_EE22_Q16","fes2_EE22_Q17","fes2_EE22_Q18_1","fes2_EE22_Q18_2","fes2_EE22_Q18_3","fes2_EE22_Q18_4","fes2_EE22_Q18_5","fes2_EE22_Q18_6","fes2_EE22_Q18_7","fes2_EE22_Q18_8","fes2_EE22_Q19","fes2_ccl_q01","fes2_FL_53_DO","cal_AGE","cal_DIPL","cal_SEXE","cal_TUU","cal_ZEAT","PDSPLT_INIT1","PDSPLT_INIT2","POIDS_INIT","cal_AGE1","cal_AGE2","cal_NAT","cal_DIPL2","POIDS_fes2","PDSPLT2_fes2","PDSPLT1_fes2","panel","eayy_a1","eayy_a2a_rec","eayy_a2a_rec2","eayy_a3_rec","eayy_a3b_rec","eayy_a3c_rec","eayy_a3d","eayy_a3e_rec","eayy_a4","eayy_a5","eayy_a5c_rec","eayy_b1","eayy_b1_rev","eayy_b1_sc","eayy_b1_sccjt","eayy_b10a","eayy_b10aa","eayy_b10acjt","eayy_b11","eayy_b11cjt","eayy_b18_rec","eayy_b18c","eayy_b18ccjt","eayy_b18cjt_rec","eayy_b1a","eayy_b1acjt","eayy_b1b","eayy_b1bcjt","eayy_b1cjt","eayy_b1cjt_rev","eayy_b2_11a_rec","eayy_b2_11acjt_rec","eayy_b2_rec","eayy_b25","eayy_b25_rec","eayy_b25cjt_rec","eayy_b2cjt_rec","eayy_b4_rec","eayy_b4cjt_rec","eayy_b5","eayy_b5_rec","eayy_b5a","eayy_b5a_rec","eayy_b5acjt","eayy_b5c","eayy_b5c_rec","eayy_b5ccjt","eayy_b5d_rec","eayy_b6a_12a_rec","eayy_b6a_rec","eayy_b6b_12b_rec","eayy_b6b_rec","eayy_b7b_rec","eayy_b8_rec","eayy_b8cjt_rec","eayy_c1_rec","eayy_c1jeu","eayy_c8","eayy_c8a_rec","eayy_c8b_rec","eayy_d1","eayy_d1_rec","eayy_d2","eayy_d2_rev","eayy_d3","eayy_d4_rec","eayy_d5_rec","eayy_d6","eayy_d7_1","eayy_d7_10","eayy_d7_2","eayy_d7_3","eayy_d7_4","eayy_d7_5","eayy_d7_6","eayy_d7_7","eayy_d7_8","eayy_d7_9","eayy_d7_rev_1","eayy_d7_rev_10","eayy_d7_rev_11","eayy_d7_rev_2","eayy_d7_rev_3","eayy_d7_rev_4","eayy_d7_rev_5","eayy_d7_rev_6","eayy_d7_rev_7","eayy_d7_rev_8","eayy_d7_rev_9","eayy_e1a_rec","eayy_e1b_rec","eayy_e1c_rec","eayy_e1d_rec","eayy_e1e_rec","eayy_e1f","eayy_e1f1_rec","eayy_e1f2_rec","eayy_e1g_rec","eayy_e1h_rec","eayy_e1i_rec","eayy_e1j_rec","eayy_e2a_rec","eayy_e2auc","eayy_e2auc_source","eayy_e3a","eayy_e3b","eayy_e3c","eayy_e3d","eayy_e3e","eayy_e4","eayy_e5","eayy_e6","eayy_f1_rec","eayy_f1_rev","eayy_f1a1","eayy_f3","eayy_f3_rev","eayy_f4","eayy_f6_rec","eayy_f6a","eayy_f7","eayy_f7_1","eayy_f7_10","eayy_f7_11","eayy_f7_12","eayy_f7_13","eayy_f7_14","eayy_f7_15","eayy_f7_2","eayy_f7_3","eayy_f7_4","eayy_f7_5","eayy_f7_6","eayy_f7_8","eayy_f7_9","eayy_f7bis_1","eayy_f7bis_10","eayy_f7bis_11","eayy_f7bis_12","eayy_f7bis_13","eayy_f7bis_14","eayy_f7bis_2","eayy_f7bis_3","eayy_f7bis_4","eayy_f7bis_5","eayy_f7bis_6","eayy_f7bis_7","eayy_f7bis_8","eayy_f7bis_9","eayy_f8","eayy_f9","eayy_g1","eayy_g1_1","eayy_g1_2","eayy_g10","eayy_g2","eayy_g3a","eayy_g3b","eayy_g3c","eayy_g3d","eayy_g4","eayy_g5","eayy_g6_1","eayy_g6_2","eayy_g6_3","eayy_g6_4","eayy_h_c11","eayy_h_teo1","eayy_h1a","eayy_h4","eayy_i1","eayy_i13a","eayy_i13b","eayy_i2","eayy_i8","eayy_j1","eayy_k3","eayy_pcs18","eayy_pcs6","eayy_pcs6cjt","eayy_typmen5","VAGUE"
1713,4,1,17,6666,6666,5,5,5,5,5,5,2,2,2,1,3,2,3,6666,6666,9999,3,3,3,0,9999,0,8,0,0,0,0,0,5,0,0,5,0,8,0,0,0,0,0,3,4,4,5,2,1,2,2,2,1,1,1,2,5,1,4,3,2,6,2,0.590031934,0.063685955,0.067042524,4,4,1,2,0.078192368,0.068426011,0.909526316,1,2,10,10,1,1,6666,2,6666,5,1,9999,1,1,6666,2,6666,6666,6666,6666,6666,7,2,2,6,6666,6666,1,1,1,1,9999,7,4,2,2,2,5,6666,6666,1,1,1,1,1,6666,6666,6666,5,3,6666,6666,6,11,6666,3,2,1,1,2,1,1,2,6666,7,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,5,2,2,2,2,1,2,1,4,2,2,7,3,2,2,3,2,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,4,1,2,4,6666,4,1,1,1,1,5,2,2,2,1,2,2,1,2,2,4,7,6666,3,5,2,5,54,5,6,3,2022
592,10,5,7,2,6666,6666,4,4,5,4,5,1,2,1,3,4,2,3,7,7,2,2,2,10,5,1,3,5,8,1,6,3,0,3,3,5,10,2,10,10,6,4,3,3,2,4,4,3,2,1,2,1,1,1,1,1,2,8,2,6,3,2,0,7,2.222725546,1.279858239,0.862159804,6,6,1,1,0.609043156,1.071150836,2.187175959,1,2,13,14,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,5,1,1,5,2,2,2,2,6,5,4,1,6,6666,2,6666,9,6666,1,6666,6666,6666,1,6666,6666,6666,6666,6666,10,6,6666,6666,11,1,6666,2,1,1,2,1,1,1,6666,6666,1,5,5,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,10,6,1,1,1,2,2,2,2,4,3,1,7,2,2,3,3,2,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,3,2,3,3,6666,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,4,2,3,6,2,2,51,5,2,3,2022
1621,1,5,5,10,6666,6666,4,4,4,4,4,3,2,2,3,4,2,3,7,7,3,2,2,10,0,0,0,0,9,0,5,0,0,0,4,8,8,3,10,11,7,4,2,3,2,1,4,5,1,1,2,1,2,2,1,1,2,5,2,6,3,2,0,8,0.587746801,0.465664861,0.348041077,5,5,1,1,0.257927062,0.527377977,0.487627781,1,2,13,14,1,1,6666,2,6666,7,9999,6666,6,5,6666,6666,6666,6666,6666,1,6666,5,1,6666,6666,2,6666,2,6666,6666,6666,4,6666,5,2,2,6666,6666,6666,6666,6666,1,2,1,6666,6,6666,6666,6666,4,6,6666,6666,6,1,6666,1,1,1,2,1,1,1,6666,6666,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9999,9999,9999,1,9999,2,9999,9999,9999,9999,9999,9999,6666,4,3,1,1,1,2,2,2,3,1,4,7,4,2,2,3,1,6,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,6666,6666,6666,6666,6666,1,6666,6666,6666,2,6666,6666,6666,6666,2,6,1,2,4,6666,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,3,7,2,1,54,5,6666,1,2022
420,12,5,12,1,12,2,4,4,4,5,5,3,3,3,2,4,3,3,6666,6666,4,2,2,10,2,2,2,0,5,5,0,5,0,0,2,6,10,3,10,5,8,6,5,2,2,1,4,4,2,1,2,1,1,1,1,1,2,9,1,4,1,2,0,4,0.4340319,0.195410505,0.128694233,3,3,1,3,0.079567505,0.220356754,0.544672073,1,2,9,9,1,1,6666,2,6666,2,1,7,1,1,6666,2,6666,6666,6666,6666,2,10,4,2,6,6666,2,1,2,1,5,5,6666,5,2,2,6666,5,6666,6666,1,1,2,1,6666,7,6666,6666,5,10,3,6666,6666,10,4,6666,3,1,1,1,2,4,5,6666,6666,1,6,5,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,12,9,1,1,1,1,1,1,2,4,1,3,7,3,2,3,3,1,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,1,6,2,3,1,6666,4,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,3,3,3,41,4,9999,5,2022
1695,12,1,14,12,12,12,4,4,5,5,5,2,3,2,1,3,2,2,6666,6666,2,2,3,10,0,4,11,0,5,0,3,11,5,0,7,5,10,0,10,10,7,11,11,3,3,1,4,4,1,1,2,2,2,2,1,1,2,3,1,3,1,2,0,1,0.80694982,0.33084615,0.187196582,3,3,1,3,0.131174481,0.333686737,0.760131183,1,2,7,8,1,1,6666,2,6666,2,1,7,3,4,6666,2,1,6666,6666,1,6666,10,4,4,10,2,6666,2,1,1,1,5,1,5,6666,2,6666,8,6666,2,6666,6666,6666,1,1,6666,6666,6666,6666,4,5,6666,6666,11,2,6666,4,3,1,2,3,1,2,6666,6666,1,5,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,12,8,1,1,1,1,1,2,2,6,1,3,9,2,3,4,3,3,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,7,2,4,1,6666,3,2,1,1,1,1,2,2,2,1,2,2,1,2,1,3,2,1,2,4,2,5,46,4,2,4,2021
421,1,5,12,5,6666,6666,5,5,5,5,4,1,2,1,1,4,4,4,7,7,7,3,9999,10,0,0,0,0,10,0,0,0,0,0,0,10,2,0,0,11,8,11,11,7,2,1,1,3,2,1,2,2,2,2,1,1,2,9,2,5,3,1,4,9,0.736025182,0.090222475,0.079521252,4,4,2,3,0.064260596,0.123621971,1.660120422,1,1,11,12,2,3,6666,2,6666,4,1,7,1,1,6666,2,6666,6666,6666,6666,6666,1,1,4,10,6666,6666,1,1,1,1,4,2,6,1,1,2,3,6666,6666,1,1,1,1,1,6666,6666,6666,5,1,5,6666,6666,1,3,6666,1,1,2,6666,6666,2,2,6666,6666,1,3,5,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,6666,9,3,2,2,1,2,2,2,3,1,1,5,2,1,1,3,1,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,8,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,3,1,1,3,4,1,9999,5,2,2,48,4,5,1,2022
977,8,1,10,8,2,2,5,4,5,5,5,2,2,2,2,3,4,3,6666,6666,4,2,1,9,0,1,9,0,9,0,1,0,1,0,2,7,10,0,10,9,8,2,0,2,2,1,4,4,2,1,2,1,2,1,1,1,2,5,1,3,1,1,6,3,0.324482134,0.039416215,0.021502939,3,3,1,4,0.018502439,0.045625673,0.078982613,1,1,7,8,1,1,6666,2,6666,4,1,5,1,1,6666,2,6666,6666,6666,6666,6666,11,5,5,11,6666,6666,1,1,3,1,4,4,5,1,1,2,5,6666,6666,1,1,1,1,1,6666,6666,6666,2,10,5,6666,6666,1,3,2,4,3,1,2,3,1,1,6666,6666,1,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,13,9,1,1,2,1,2,2,2,5,3,3,6,3,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,6,2,2,1,6666,3,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,4,1,2,5,2,3,36,3,3,4,2022
122,12,15,2,8,12,2,4,4,5,5,5,2,3,2,1,3,2,2,6666,6666,5,2,3,0,0,2,5,0,4,3,2,2,2,0,1,4,10,0,9,9,6,0,0,1,2,4,4,4,1,2,1,2,2,2,1,1,1,6,1,3,1,1,6,5,0.743816426,0.38839892,0.219671173,3,3,2,3,0.176269171,0.621937425,1.883568692,1,1,8,8,2,3,6666,1,2,4,1,5,1,1,6666,2,6666,6666,6666,6666,6666,10,4,4,10,6666,6666,1,1,3,1,4,4,6,2,2,2,5,6666,6666,1,1,1,1,2,6666,6666,4,3,6,5,6666,6666,6,3,4,6,4,2,6666,6666,1,2,6666,6666,1,4,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,5,1,1,1,1,2,1,2,2,3,3,4,5,3,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,1,3,1,1,3,6,4,2,8,2,5,36,3,4,4,2022
915,2,5,10,2,6666,6666,3,2,5,5,4,2,3,2,3,3,3,4,7,7,2,3,1,10,3,0,0,2,8,0,7,0,0,6,0,7,8,0,6,8,8,0,0,0,2,1,4,2,2,1,2,1,1,1,1,1,2,9,2,5,1,2,8,1,0.835381342,0.313730832,0.193160309,4,4,1,4,0.1155325,0.26147843,0.310458755,1,2,11,11,1,1,6666,2,6666,4,1,7,1,1,6666,2,6666,6666,6666,6666,6666,10,4,5,11,6666,6666,1,1,1,1,8,1,7,6666,6666,6666,9,6666,1,6666,6666,6666,1,1,6666,6666,6666,6666,6666,6666,6666,6666,10,6666,6666,4,1,1,2,3,1,1,6666,6666,2,5,5,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,13,9,1,1,1,1,1,1,2,2,1,1,6,4,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,5,2,2,9999,6666,4,1,1,1,1,4,2,2,2,1,2,1,3,1,1,2,4,1,3,6,3,1,51,5,3,5,2022
455,2,10,14,10,6666,6666,5,5,5,5,5,3,3,3,1,2,3,4,9,12,2,2,2,10,0,0,0,2,7,0,7,0,0,7,3,6,9,0,10,8,8,3,11,3,2,1,4,3,2,1,2,2,2,2,1,1,1,8,2,3,2,2,0,7,0.467227476,0.46618394,0.579993561,3,3,1,3,0.620038394,0.404189062,0.641483613,1,2,8,9,1,1,6666,2,6666,3,1,7,1,1,6666,2,6666,6666,6666,6666,6666,9,3,4,10,6666,6666,1,1,1,1,4,1,5,2,2,6666,8,6666,1,1,1,1,1,1,6666,6666,6666,5,4,4,6666,6666,6,4,6666,4,1,1,2,3,1,1,6666,6666,1,8,5,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,1,11,5,1,1,2,1,1,1,2,4,1,3,9,2,2,3,3,1,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,1,5,2,2,4,6666,1,1,1,1,1,4,2,1,2,2,2,1,1,1,1,2,2,1,2,7,2,4,46,4,1,5,2022
795,1,4,1,12,6666,6666,4,4,5,5,5,3,3,3,1,4,1,3,6,6,5,2,3,10,0,0,0,10,5,0,0,11,0,0,5,5,5,5,5,5,5,5,11,5,2,4,4,5,2,1,2,1,1,1,1,1,2,7,2,3,2,2,6,4,0.387894651,0.035386186,0.053337289,3,3,1,3,0.078432338,0.039903613,0.486773861,1,2,8,9,1,1,6666,2,6666,1,3,6666,1,4,6666,6666,1,6666,6666,1,6666,8,3,6666,6666,2,6666,2,6666,6666,6666,4,6666,5,2,2,6666,6666,6666,6666,6666,1,1,1,6666,6666,6666,6666,6666,3,6,6666,6666,4,4,6666,1,1,2,6666,6666,3,3,5,4,2,2,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,6666,1,3,1,1,2,2,2,2,3,3,1,5,6,2,2,2,1,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,3,2,2,1,6666,2,1,1,1,1,5,2,2,2,1,2,2,1,1,1,4,1,3,2,5,3,2,55,5,6666,1,2022
279,8,7,10,2,2,2,4,4,4,4,4,3,3,2,3,3,4,2,6666,6666,2,2,1,11,0,10,8,0,10,6,0,3,5,0,3,5,10,2,10,10,8,3,1,2,2,3,9999,4,2,1,2,2,2,1,2,1,2,7,1,7,1,2,8,1,0.792229411,0.15491621,0.180574608,6,6,3,4,0.215552525,0.080272397,2.941457891,1,2,14,15,3,2,1,2,6666,4,2,9999,9999,6,6666,2,3,6666,6666,2,1,10,4,5,11,2,2,2,2,6666,5,6666,3,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,3,1,1,1,2,1,1,1,6666,6666,2,4,5,3,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6666,4,3,2,2,2,2,2,1,5,3,2,7,4,3,4,9999,1,9999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,7,2,2,9999,5,4,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,5,3,2,3,3,3,9999,9999,3,1,2022
1147,4,1,1,15,2,2,5,4,5,5,5,3,3,3,2,3,3,3,6666,6666,4,2,3,5,0,0,0,0,7,0,0,0,0,0,5,7,0,0,0,2,1,1,3,1,2,2,1,5,1,1,2,1,2,1,1,1,2,10,1,6,3,1,0,5,0.987925807,1.128129126,0.704836374,6,6,1,2,0.487612991,0.820500803,0.660355122,1,1,13,14,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,6666,6,2,1,5,2,9999,2,2,6,5,4,6666,4,6666,2,6666,88,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,2,6666,6666,3,2,4,6666,2,1,1,2,1,1,1,6666,6666,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,11,8,1,2,2,1,1,1,2,5,3,1,9,4,1,1,3,1,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6666,6666,6666,4,6666,6666,6666,6666,6666,6666,6666,5,6666,6666,2,6,2,2,1,6666,6,2,1,2,1,2,2,1,2,2,2,9999,2,1,1,3,4,3,3,5,3,2,61,6,6666,3,2022
651,8,12,8,16,10,2,4,3,5,4,5,2,3,2,3,4,3,2,6666,6666,2,2,1,10,0,3,8,0,10,4,2,5,4,0,4,7,10,1,10,10,9,3,0,3,2,1,4,4,2,1,2,2,2,1,1,1,2,8,1,2,1,1,8,1,0.467817907,0.268923287,0.465114336,2,2,1,4,0.52355,0.383903486,0.267083475,1,1,6,6,1,1,6666,2,6666,3,1,2,1,1,6666,2,6666,6666,2,6666,1,11,5,3,8,6666,2,1,2,6666,4,4,4,5,2,2,2,6666,6666,6666,1,1,1,1,6666,6666,6666,6666,2,6,5,6666,6666,8,3,3,2,1,2,6666,6666,2,5,6666,6,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,11,8,1,1,2,1,2,1,2,4,3,2,5,2,3,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,6,1,2,1,2,2,3,1,1,1,4,1,2,2,1,2,2,1,2,1,2,4,5,2,4,3,5,36,3,5,3,2022
252,2,1,2,6,2,2,5,5,5,5,5,3,3,2,3,3,3,3,6666,6666,1,2,2,10,0,0,0,0,10,0,0,0,0,0,3,9,10,1,10,8,6,4,2,3,2,1,1,3,2,1,2,1,1,2,1,1,2,10,1,7,3,1,8,1,2.730363859,2.978287045,2.733786443,6,6,1,1,5.3243371,2.928186693,1.386680125,1,1,14,15,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,6,2,1,5,2,2,2,2,6,5,4,5,5,6666,1,2,5,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6,6,6666,6666,1,4,2,2,1,1,2,1,1,1,6666,6666,2,3,5,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,11,8,1,1,9999,1,9999,9999,2,4,3,1,9,5,3,3,4,1,6,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,6666,6666,6666,6666,2,1,6666,6666,6666,6666,6666,6666,6666,6666,1,5,2,3,2,3,5,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,4,5,2,7,2,1,48,4,4,3,2022
148,1,8,12,2,6666,6666,3,5,5,5,5,2,2,3,3,3,2,4,13,13,4,3,2,7,5,4,6,5,6,4,4,4,7,4,5,7,6,5,4,4,5,5,5,4,3,3,4,4,2,1,2,1,2,1,1,1,2,5,2,6,3,1,0,8,1.317068428,0.713609928,0.524089099,6,6,1,2,0.37622867,0.549261257,0.798423278,1,1,13,14,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,6,2,1,5,2,2,2,2,1,5,2,2,2,6666,1,2,4,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,2,2,2,6666,6666,2,1,1,2,1,1,1,6666,6666,1,4,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,9999,9999,9999,1,9999,2,9999,9999,9999,9999,9999,9999,10,6,1,1,9999,1,9999,9999,2,4,1,2,4,4,2,3,3,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,1,4,2,1,1,6666,2,1,1,1,1,1,2,2,2,1,2,1,3,1,1,3,1,3,3,6,3,2,66,6,5,3,2022
1501,1,12,8,6,12,12,5,5,5,5,5,1,3,3,1,4,1,2,6666,6666,3,3,3,10,0,0,0,0,2,0,2,0,0,0,5,5,5,5,5,5,5,5,5,5,2,4,4,2,2,1,2,2,2,2,1,1,2,2,1,6,3,2,0,2,1.369210916,0.37229399,0.286895451,6,6,1,2,0.210073703,0.292479488,1.196380002,1,2,13,14,1,1,6666,2,6666,4,9999,6666,6,5,6666,6666,6666,6666,6666,9999,6666,6,2,6666,6666,2,6666,2,6666,6,6666,6666,6666,5,6666,6666,6666,5,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6,6666,6666,6666,6666,6666,2,1,2,6666,6666,1,1,6666,6666,1,9999,5,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,9,5,1,1,1,2,1,2,2,3,3,1,5,3,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,2,5,3,2,2,6666,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,4,4,2,4,5,3,3,9999,9999,9999,3,2022
1408,2,9999,2,9999,13,13,4,4,4,4,4,2,2,2,1,3,1,4,6666,6666,6,4,2,10,0,8,5,0,0,5,0,5,8,0,2,10,10,4,10,10,10,5,2,2,4,4,4,5,1,1,2,1,1,1,1,1,2,6,1,3,1,2,8,1,0.524033987,0.140831714,0.115301879,3,3,1,4,0.095185474,0.149177365,0.265897836,1,2,8,8,1,1,6666,2,6666,2,1,5,1,1,6666,2,6666,6666,6666,6666,6666,10,4,4,10,6666,6666,1,1,1,1,2,2,1,2,2,1,2,6666,6666,1,1,1,1,1,6666,6666,6666,4,6666,6666,9,6,9,6666,6666,5,3,2,6666,6666,1,1,6666,6666,1,6,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,9,2,1,1,1,1,2,2,2,3,3,1,9,6,2,4,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,1,9,4,4,4,6666,2,1,1,3,1,1,2,2,2,1,1,2,1,2,1,4,6,5,2,1,1,4,41,4,4,4,2022
1520,8,9999,10,15,6666,6666,5,5,5,4,5,2,3,2,3,4,4,3,7,7,4,2,2,9,0,0,8,0,8,0,6,0,0,0,3,7,10,8,10,2,7,4,1,0,2,1,9999,4,2,1,1,1,2,1,1,1,2,9,2,3,1,1,8,1,0.524529641,0.042125523,0.027867244,3,3,1,4,0.022284796,0.045061496,0.200215842,1,1,8,9,1,1,6666,2,6666,4,1,6,1,1,6666,2,6666,6666,6666,6666,6666,10,4,4,10,6666,6666,1,1,1,1,4,4,5,2,2,2,5,6666,6666,1,1,1,1,1,6666,6666,6666,4,3,3,6666,6666,7,4,4,4,2,2,6666,6666,2,2,6666,6666,1,4,4,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,12,7,1,1,1,1,1,2,2,4,1,2,7,2,2,2,3,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,1,2,2,1,6666,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,4,1,2,8,3,4,46,4,3,4,2022
