"UID_fes4","fes4_Q01","fes4_Q02a","fes4_Q02b","fes4_Q02c","fes4_Q02d","fes4_Q02e","fes4_Q02f","fes4_Q02g","fes4_Q03","fes4_Q04a","fes4_Q04b","fes4_Q04c","fes4_Q04d","fes4_Q04_DO_Q04a","fes4_Q04_DO_Q04b","fes4_Q04_DO_Q04c","fes4_Q04_DO_Q04d","fes4_Q05a","fes4_Q05b","fes4_Q05c","fes4_Q05_DO_Q05a","fes4_Q05_DO_Q05b","fes4_Q05_DO_Q05c","fes4_Q06","fes4_Q07a","fes4_Q07b","fes4_Q07d","fes4_Q07e","fes4_Q07f","fes4_Q07g","fes4_Q07_DO_Q07a","fes4_Q07_DO_Q07b","fes4_Q07_DO_Q07c","fes4_Q07_DO_Q07d","fes4_Q07_DO_Q07e","fes4_Q07_DO_Q07f","fes4_Q07_DO_Q07g","fes4_Q08a","fes4_Q08b","fes4_Q09","fes4_Q10p1.a","fes4_Q10p1.b","fes4_Q10p2.a","fes4_Q10p2.b","fes4_Q10lh1.a","fes4_Q10lh1.c","fes4_Q11a","fes4_Q11b","fes4_Q11c","fes4_Q12","fes4_Q13","fes4_Q14a","fes4_Q14b","fes4_Q14c","fes4_Q14d","fes4_Q15","fes4_Q16a","fes4_Q16b","fes4_Q16c","fes4_Q16d","fes4_Q16e","fes4_Q16f","fes4_Q16g","fes4_Q16h","fes4_Q17a","fes4_Q17b","fes4_Q17c","fes4_Q17d","fes4_Q17e","fes4_Q17f","fes4_Q18a","fes4_Q18b","fes4_Q18c","fes4_Q18d","fes4_Q18e","fes4_Q18f","fes4_Q18g","fes4_Q18h","fes4_Q19","fes4_Q22","fes4_Q23a","fes4_Q23b","fes4_Q23c","fes4_Q23d","fes4_Q24","fes4_Q25a","fes4_Q25b","fes4_Q26a","fes4_Q26b","fes4_Q27a","fes4_Q27b","fes4_Q27c","fes4_Q27d","fes4_bloc_q25_DO_Q25a","fes4_bloc_q25_DO_Q25b","fes4_bloc_q26_DO_Q26a","fes4_bloc_q26_DO_Q26b","cal_AGE","cal_DIPL","cal_SEXE","cal_TUU","cal_ZEAT","cal_AGE1","cal_AGE2","cal_NAT","cal_DIPL2","panel","eayy_a1","eayy_a2a_rec","eayy_a2a_rec2","eayy_a3_rec","eayy_a3b_rec","eayy_a3c_rec","eayy_a3d","eayy_a3e_rec","eayy_a4","eayy_a5","eayy_a5c_rec","eayy_b1","eayy_b1_rev","eayy_b1_sc","eayy_b1_sccjt","eayy_b10a","eayy_b10aa","eayy_b10acjt","eayy_b11","eayy_b11cjt","eayy_b18_rec","eayy_b18c","eayy_b18ccjt","eayy_b18cjt_rec","eayy_b1a","eayy_b1acjt","eayy_b1b","eayy_b1bcjt","eayy_b1cjt","eayy_b1cjt_rev","eayy_b2_11a_rec","eayy_b2_11acjt_rec","eayy_b2_rec","eayy_b25","eayy_b25_rec","eayy_b25cjt_rec","eayy_b2cjt_rec","eayy_b4_rec","eayy_b4cjt_rec","eayy_b5","eayy_b5_rec","eayy_b5a","eayy_b5a_rec","eayy_b5acjt","eayy_b5c","eayy_b5c_rec","eayy_b5ccjt","eayy_b5d_rec","eayy_b6a_12a_rec","eayy_b6a_rec","eayy_b6b_12b_rec","eayy_b6b_rec","eayy_b7b_rec","eayy_b8_rec","eayy_b8cjt_rec","eayy_c1_rec","eayy_c1jeu","eayy_c8","eayy_c8a_rec","eayy_c8b_rec","eayy_d1","eayy_d1_rec","eayy_d2","eayy_d2_rev","eayy_d3","eayy_d4_rec","eayy_d5_rec","eayy_d6","eayy_d7_1","eayy_d7_10","eayy_d7_2","eayy_d7_3","eayy_d7_4","eayy_d7_5","eayy_d7_6","eayy_d7_7","eayy_d7_8","eayy_d7_9","eayy_d7_rev_1","eayy_d7_rev_10","eayy_d7_rev_11","eayy_d7_rev_2","eayy_d7_rev_3","eayy_d7_rev_4","eayy_d7_rev_5","eayy_d7_rev_6","eayy_d7_rev_7","eayy_d7_rev_8","eayy_d7_rev_9","eayy_e1a_rec","eayy_e1b_rec","eayy_e1c_rec","eayy_e1d_rec","eayy_e1e_rec","eayy_e1f","eayy_e1f1_rec","eayy_e1f2_rec","eayy_e1g_rec","eayy_e1h_rec","eayy_e1i_rec","eayy_e1j_rec","eayy_e2a_rec","eayy_e2auc","eayy_e2auc_source","eayy_e3a","eayy_e3b","eayy_e3c","eayy_e3d","eayy_e3e","eayy_e4","eayy_e5","eayy_e6","eayy_f1_rec","eayy_f1_rev","eayy_f1a1","eayy_f3","eayy_f3_rev","eayy_f4","eayy_f6_rec","eayy_f6a","eayy_f7","eayy_f7_1","eayy_f7_10","eayy_f7_11","eayy_f7_12","eayy_f7_13","eayy_f7_14","eayy_f7_15","eayy_f7_2","eayy_f7_3","eayy_f7_4","eayy_f7_5","eayy_f7_6","eayy_f7_8","eayy_f7_9","eayy_f7bis_1","eayy_f7bis_10","eayy_f7bis_11","eayy_f7bis_12","eayy_f7bis_13","eayy_f7bis_14","eayy_f7bis_2","eayy_f7bis_3","eayy_f7bis_4","eayy_f7bis_5","eayy_f7bis_6","eayy_f7bis_7","eayy_f7bis_8","eayy_f7bis_9","eayy_f8","eayy_f9","eayy_g1","eayy_g1_1","eayy_g1_2","eayy_g10","eayy_g2","eayy_g3a","eayy_g3b","eayy_g3c","eayy_g3d","eayy_g4","eayy_g5","eayy_g6_1","eayy_g6_2","eayy_g6_3","eayy_g6_4","eayy_h_c11","eayy_h_teo1","eayy_h1a","eayy_h4","eayy_i1","eayy_i13a","eayy_i13b","eayy_i2","eayy_i8","eayy_j1","eayy_k3","eayy_pcs18","eayy_pcs6","eayy_pcs6cjt","eayy_typmen5","VAGUE","POIDS_fes4","PDSPLT1_fes4","PDSPLT2_fes4","POIDS_INIT","PDSPLT_INIT1","PDSPLT_INIT2"
466,4,0,0,7,0,0,0,6666,4,2,2,4,3,4,3,1,2,3,3,3,2,3,1,8,1,2,1,3,3,3,7,2,5,3,6,1,4,2,2,2,4,7,4,2,4,7,1,6666,6666,2,1,1,14,1,2,5,7,1,8,7,5,5,0,1,8,1,4,0,4,2,3,0,7,8,5,2,10,2,7,2,5,1,7,2,2,5,5,3,2,2,4,4,1,2,1,1,2,4,1,1,6,4,4,4,1,4,1,1,10,10,1,1,6666,2,6666,4,1,7,1,1,6666,2,6666,6666,6666,6666,6666,11,5,4,10,6666,6666,1,1,1,1,4,2,4,1,2,2,1,6666,6666,1,1,1,1,1,6666,6666,6666,4,6,6666,6666,6,8,4,6666,4,2,2,6666,6666,1,1,6666,6666,1,8,5,5,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,9,2,1,1,1,1,1,1,2,6,1,3,8,2,3,5,2,3,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,6666,6666,1,6666,6666,6666,1,6666,6666,1,1,6666,6666,6666,1,8,1,2,4,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,4,4,1,1,6,1,1,36,3,4,4,2022,0.0159395681929665,0.201919250905427,0.0345862654224831,0.0219509597580085,0.449749275,0.0353861864358057
711,3,1,1,3,1,0,0,6666,4,3,2,3,2,3,4,2,1,3,3,2,2,1,3,5,4,4,3,4,4,3,6,2,7,4,1,5,3,3,3,5,4,6,4,1,4,11,1,6666,6666,1,5,1,8,1,1,5,1,2,0,1,2,0,8,96,0,0,4,9,0,0,5,5,5,5,5,5,5,5,5,4,5,1,11,2,2,5,5,4,3,4,4,4,1,2,1,1,2,3,2,2,0,5,3,3,1,3,1,2,8,8,1,1,6666,2,6666,4,1,5,9999,1,6666,2,6666,6666,6666,6666,6666,10,4,1,1,6666,6666,1,1,1,1,1,4,6666,6666,6666,2,5,1,6666,6666,6666,6666,2,1,6666,5,6666,6666,6666,6666,6666,6666,10,6666,2,5,4,2,6666,6666,2,2,6666,6666,1,5,3,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,7,1,1,1,1,1,1,2,2,3,1,2,8,3,2,4,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,4,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,2,7,1,2,1,6666,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,3,1,3,3,5,2,3,56,5,6,4,2022,1.00013740479964,0.649983389491069,0.670084991598096,0.924307962553956,0.470547559,0.665994367176862
226,1,5,2,5,1,1,2,6666,1,2,4,2,4,3,4,2,1,5,5,5,2,3,1,8,2,2,2,2,2,4,6,3,5,7,1,4,2,1,1,4,4,7,4,2,4,7,1,6666,6666,2,1,1,9,1,2,5,2,0,10,4,8,4,1,0,10,0,0,0,2,3,2,0,5,7,5,3,9,9,5,2,1,6666,7,1,2,5,5,2,2,4,3,4,1,2,1,2,1,5,1,1,8,1,5,5,1,4,1,1,12,13,1,1,6666,2,6666,7,2,5,6,5,6666,2,6666,6666,6666,1,6666,11,5,5,11,2,6666,2,1,6666,1,4,4,5,6666,1,2,6666,6666,6666,6666,6666,6666,1,2,6666,6666,1,6666,6,5,6666,6666,8,4,1,1,1,2,6666,6666,1,1,6666,6666,2,3,5,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6666,10,3,1,2,1,2,1,1,4,3,1,6,4,3,5,3,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,5,2,2,1,6666,4,4,2,2,2,4,2,2,2,1,2,1,2,1,1,2,5,4,2,5,4,1,36,3,3,1,2022,0.0706433095297464,0.104200530251115,0.149929855128427,0.134121538967014,0.459941527,0.250569310297101
1039,2,4,1,5,1,2,0,6666,2,1,2,5,4,4,3,1,2,2,5,4,3,1,2,4,4,2,2,2,3,4,6,4,7,1,2,3,5,4,9999,3,4,8,4,2,4,5,4,6666,6666,5,2,1,9,1,2,1,7,5,3,2,96,7,0,0,1,0,6,0,2,7,3,4,4,9,7,3,2,10,2,4,1,6666,5,2,3,5,5,4,9999,5,4,3,1,2,1,1,2,7,3,1,0,4,6,6,1,1,1,1,14,15,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,9999,1,4,1,6666,6666,2,2,2,2,6,5,6666,2,8,6666,6666,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,1,1,2,2,1,1,6666,6666,1,5,5,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,6,2,1,1,1,2,2,2,2,9999,1,1,4,3,2,4,9999,1,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,6666,6666,6666,5,6666,6666,6666,6666,6666,6666,6666,6666,3,4,2,5,1,1,1,6666,2,9999,1,2,3,1,2,2,2,1,2,2,1,2,1,2,5,1,3,2,4,1,9999,9999,5,3,2022,3.29433561466145,0.972350635620024,2.50933086512625,1.79465067477478,2.066758332,2.06872267450185
522,1,7,7,5,5,3,4,6666,2,1,2,5,3,2,3,4,1,2,2,4,3,1,2,9,2,2,2,2,2,3,4,7,5,1,6,3,2,2,1,4,4,7,4,2,4,7,1,6666,6666,4,1,1,9,1,2,4,2,0,8,6,6,3,0,0,10,0,1,0,2,1,2,0,6,7,6,4,10,10,7,2,1,6666,7,2,2,5,5,3,1,4,4,3,1,2,1,2,1,4,1,2,6,8,4,4,1,4,1,2,10,11,1,1,6666,2,6666,5,2,3,1,1,6666,2,6666,6666,6666,6666,6666,10,4,2,6,6666,6666,1,1,1,1,4,4,5,1,1,2,5,6666,6666,2,1,1,1,1,6666,6666,6666,1,6,7,6666,6666,6,3,3,2,1,1,2,1,1,2,6666,6666,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9999,9999,3,1,1,2,2,2,2,3,1,2,7,4,2,3,2,2,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,7,1,1,2,6666,2,1,1,1,1,4,2,2,2,1,2,1,1,1,2,1,2,1,2,7,3,5,36,3,4,3,2022,0.043918395860259,0.297768433211611,0.0853815728912514,0.0675831484126547,0.294825446,0.0947140264748583
1559,1,7,7,7,4,4,4,6666,1,3,2,3,2,2,1,3,4,2,2,3,2,1,3,6,3,2,2,3,3,3,1,2,4,6,7,5,3,3,3,5,4,6,4,1,4,11,2,6666,6666,2,2,1,8,1,1,5,0,0,2,2,0,0,10,8,2,6,0,10,0,0,3,0,4,8,3,0,9,10,10,4,1,6666,11,1,1,2,2,4,4,4,4,4,1,2,1,1,2,6,1,1,4,4,6,6,1,2,1,1,13,14,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,9,3,1,5,2,2,2,2,6,5,7,2,5,6666,2,2,2,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,2,3,6666,6666,2,4,6666,1,1,2,6666,6666,1,1,6666,6666,1,4,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,6666,9999,3,3,3,3,3,3,2,4,3,1,6,5,1,4,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,5,3,3,9999,6666,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,4,1,4,10,2,1,61,6,5,1,2022,0.123982542051029,0.433917013297732,0.464378621827661,0.252567493898055,0.91126031,0.620864476634282
995,2,1,2,1,2,0,0,6666,2,1,1,5,2,1,3,2,4,5,5,3,2,3,1,0,3,4,3,3,3,3,4,6,2,1,7,3,5,4,4,5,4,5,4,1,4,11,2,6666,6666,4,4,1,10,1,2,3,3,5,0,0,0,0,8,4,0,3,4,8,0,0,2,1,10,10,10,1,8,10,8,5,1,6666,11,3,3,5,5,4,4,5,5,3,1,1,2,1,2,5,2,1,1,4,5,5,1,3,1,1,12,12,1,1,6666,2,6666,4,1,7,3,5,6666,2,6666,6666,6666,6666,6666,8,3,4,10,1,6666,1,1,1,1,4,2,5,6666,2,2,1,6666,6666,2,6666,6666,2,1,6666,7,6666,2,2,5,6666,6666,4,2,6666,3,1,1,1,2,1,1,6666,6666,1,8,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,13,10,1,1,1,1,1,1,2,4,1,2,4,2,2,2,3,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,6666,4,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,1,5,1,3,1,6666,6,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,3,1,4,5,2,3,66,6,3,5,2022,0.109961151505709,0.128249185888656,0.088794026004584,0.129685435309415,0.426258132,0.137916041548994
689,1,7,3,7,7,7,7,9999,1,1,1,5,5,1,3,2,4,5,5,2,1,3,2,3,3,4,2,2,2,3,3,6,2,1,4,7,5,4,2,4,4,8,4,2,4,4,1,6666,6666,1,4,1,10,2,6666,5,8,10,0,0,0,0,0,0,0,0,9,0,0,4,4,2,8,8,6,6,10,10,1,4,1,6666,4,1,2,5,5,4,4,4,5,3,1,1,2,1,2,5,1,1,4,9,4,4,1,4,1,1,11,12,1,1,6666,2,6666,4,1,7,1,1,6666,2,6666,6666,6666,6666,6666,7,2,5,11,6666,6666,1,1,1,1,1,4,9,6666,6666,1,5,1,6666,6666,6666,6666,1,2,6666,6666,6,6666,6666,6666,6666,6666,1,6666,4,2,1,1,2,1,1,1,6666,6666,1,7,4,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,12,10,1,1,2,1,1,1,1,5,3,1,8,6,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,1,9,1,2,9999,6666,4,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,6,5,4,1,2,1,10,1,3,3,2022,0.00935404926671476,0.737474373410274,0.0384735961149414,0.0178157956844014,1.01871653,0.0353861864358057
1696,2,0,0,7,7,0,0,6666,4,4,4,4,3,2,3,1,4,3,4,4,1,3,2,7,2,2,2,2,2,3,3,5,7,6,2,1,4,3,9999,4,4,8,4,2,4,4,2,6666,6666,4,3,1,5,1,2,3,1,3,3,2,2,2,1,3,5,3,5,1,1,1,3,2,6,7,5,4,8,10,5,2,5,1,7,2,2,5,5,3,3,4,3,4,1,1,2,2,1,4,1,1,6,7,4,4,1,4,1,1,9,9,1,1,6666,2,6666,4,1,5,1,1,6666,2,6666,6666,6666,6666,6666,11,5,4,10,6666,6666,1,1,1,1,2,1,1,1,1,6666,9,6666,1,1,1,1,1,2,6666,6666,5,4,6666,6666,9,6,8,6666,6666,4,3,2,6666,6666,1,1,6666,6666,1,6,3,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,9,3,1,1,2,2,2,2,2,3,1,3,6,2,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,6,1,1,2,4,2,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,4,5,2,6,2,1,32,3,2,4,2022,0.217131143543205,0.344565811504335,0.435702503570171,0.338282079019937,0.483689451,0.531886193894211
1002,2,0,1,7,1,0,0,6666,2,2,3,4,3,3,1,2,4,2,2,3,2,3,1,7,2,2,2,3,2,3,1,6,2,5,3,7,4,2,9999,4,4,7,4,2,4,13,2,6666,6666,2,1,1,6,1,2,3,7,7,8,3,5,7,0,0,9,0,2,0,2,7,3,1,6,9,7,4,10,10,5,2,5,1,7,3,2,5,5,9999,3,2,4,3,5,2,1,1,2,4,1,2,8,1,4,4,1,4,1,2,9,10,1,1,6666,2,6666,1,3,6666,1,1,6666,6666,6666,6666,6666,6666,6666,11,5,6666,6666,6666,6666,1,6666,6666,6666,4,6666,5,2,1,6666,6666,6666,6666,1,1,1,1,6666,6666,6666,6666,4,6,5,6666,6666,11,3,6666,1,1,2,6666,6666,2,2,6666,6666,2,2,3,4,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,6666,10,3,1,2,2,2,1,1,5,1,2,7,2,2,1,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,3,1,1,1,5,2,1,1,1,1,3,1,2,2,1,2,2,1,2,1,1,6,5,2,3,2,1,36,3,6666,1,2022,0.0680218328816609,0.23950388114402,0.1514878768103,0.111448334333835,0.417690671,0.18927767367041
890,2,3,5,1,0,9999,1,6666,9999,3,2,4,3,4,2,1,3,2,3,2,1,3,2,6,2,3,1,3,3,3,5,1,2,3,7,4,6,4,2,4,1,6666,1,6666,4,11,6666,6666,5,9999,3,9999,6666,1,1,3,0,1,2,3,2,1,3,1,1,1,2,10,3,2,2,2,5,3,3,3,5,2,5,4,1,6666,11,2,3,5,5,3,2,9999,4,9999,1,2,1,2,1,5,4,2,0,2,5,5,1,1,1,2,12,13,1,1,6666,2,6666,7,3,6666,6,5,6666,6666,6666,6666,6666,1,6666,1,1,6666,6666,2,6666,2,6666,6666,6666,6,6666,6,6666,2,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,1,1,6666,6666,11,6666,6666,1,1,2,6666,6666,3,3,4,2,1,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6666,4,3,2,2,2,2,2,2,2,3,1,7,6,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,7,2,2,4,6666,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,3,2,4,3,7,3,2,56,5,6666,1,2021,0.127187915065285,0.621779944367158,0.127399758198018,0.100312716442165,0.821120917,0.0994323100275359
1627,4,0,5,0,0,0,0,6666,3,3,2,4,3,3,2,4,1,3,3,3,1,3,2,5,3,3,3,3,3,3,2,6,1,4,7,3,5,3,3,4,4,13,4,2,4,9999,6666,5,6666,5,2,1,14,1,5,2,5,5,5,5,96,0,0,96,5,0,5,0,5,96,5,5,5,5,0,0,0,0,9999,4,5,5,6666,6666,2,5,5,3,3,4,4,4,5,1,2,2,1,4,4,2,8,1,3,3,1,2,1,2,9,9,1,1,6666,2,6666,1,3,6666,7,4,6666,6666,2,6666,6666,1,6666,1,1,6666,6666,2,6666,2,6666,6666,6666,4,6666,4,6666,1,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,10,6666,6666,88,5,3,6666,5,2,2,6666,6666,3,3,5,4,2,3,5,4,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,4,1,2,1,2,2,2,2,2,3,3,1,5,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,6666,6666,6666,6666,2,0,1,3,4,6666,2,2,2,4,1,5,2,2,2,1,2,2,2,2,2,4,7,6666,3,4,3,5,55,5,6666,2,2022,4.31002753916416,1.53604446338474,1.34134564973181,2.7780387593214,1.241443972,1.21811862488086
388,3,7,7,1,1,3,0,6666,2,2,1,2,4,1,2,4,3,4,4,3,2,1,3,8,2,2,2,4,2,3,6,4,5,1,2,3,7,4,2,3,4,6,4,2,4,9,2,6666,6666,2,1,1,8,1,2,5,1,0,4,6,4,0,5,5,6,0,0,6,5,3,7,2,7,6,6,3,8,8,8,2,5,1,12,3,2,5,5,3,3,4,3,3,5,2,1,1,2,5,1,2,6,2,5,5,1,3,1,2,12,12,1,1,6666,2,6666,4,1,5,3,5,6666,2,6666,6666,6666,1,1,10,4,3,9,2,2,2,2,6,5,4,3,5,6666,1,2,5,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6,5,6666,6666,7,3,4,2,1,2,6666,6666,1,1,6666,6666,1,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,12,10,1,1,2,1,2,1,2,5,1,1,7,6,3,1,3,1,6,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,2,5,1,2,4,5,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,3,3,4,2,7,2,2,55,5,3,3,2022,0.0171452692341843,0.376531332214914,0.0375287213765819,0.0289608368583555,0.645283281,0.0573910414523805
1452,2,0,0,0,7,0,0,6666,2,1,1,4,5,1,4,2,3,4,4,5,1,3,2,9,2,2,1,3,2,3,6,1,3,5,2,7,4,2,1,3,4,8,4,2,4,4,1,6666,6666,4,1,1,9,1,2,5,4,4,5,0,5,5,0,0,6,0,5,0,4,4,4,0,8,9,7,4,10,10,4,2,5,5,6666,6666,2,5,5,2,2,5,3,3,5,1,2,2,1,5,1,1,8,1,5,5,1,4,1,1,12,12,1,1,6666,2,6666,4,2,5,1,1,6666,2,6666,6666,6666,6666,1,11,5,5,11,6666,2,1,2,6666,5,2,2,1,1,1,2,6666,6666,6666,1,1,1,1,6666,6666,6666,6666,3,6666,6666,9,6,8,6666,6666,1,1,1,2,1,1,3,4,6666,1,4,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,6666,10,3,2,2,1,1,2,2,4,1,3,10,2,3,4,3,2,5,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,6666,6666,6666,6666,6666,6666,2,2,6666,6666,6666,6666,6666,6666,1,6,4,4,4,4,3,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,4,5,2,3,1,3,32,3,3,1,2021,0.0987007226653022,0.104200530251115,0.152791322435645,0.187390609374729,0.459941527,0.255351519210683
1846,3,0,4,4,5,0,0,6666,2,2,2,4,4,3,2,1,4,4,3,4,2,3,1,5,2,2,2,2,2,3,5,7,3,1,6,4,2,2,9999,2,4,7,4,1,4,9999,2,6666,6666,2,1,1,9,1,2,5,7,4,7,3,4,6,5,96,7,0,4,7,2,96,5,5,4,7,5,3,8,9999,4,2,5,5,6666,6666,2,5,5,3,2,5,4,4,1,1,2,2,1,3,1,2,0,4,3,3,1,3,1,2,8,9,1,1,6666,2,6666,4,1,7,1,1,6666,2,6666,6666,6666,6666,6666,10,4,2,6,6666,6666,1,1,1,1,4,4,5,2,2,2,5,6666,6666,1,1,2,2,1,5,5,6666,2,3,6,6666,6666,10,3,4,5,3,1,3,4,3,3,4,2,1,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,11,4,1,1,1,2,2,2,2,3,1,2,6,4,2,4,3,1,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,6,1,1,1,6666,3,1,1,1,1,1,2,2,1,2,2,2,1,1,1,3,7,6666,2,9999,3,2,51,5,4,4,2022,0.175229352691301,0.43120500872947,0.296739672984409,0.205125581774619,0.4340319,0.268140285211703
550,2,3,4,0,7,0,0,6666,1,1,3,1,5,3,4,1,2,5,5,5,3,1,2,10,2,2,2,4,2,4,6,5,4,1,7,3,2,2,9999,2,4,7,4,2,4,7,1,6666,6666,1,1,1,9,1,9999,5,5,2,7,3,6,6,0,0,7,0,3,0,6,5,3,0,6,7,6,4,9,10,6,2,1,6666,7,3,2,5,5,3,3,9999,4,4,1,1,2,2,1,7,1,2,8,1,6,6,1,4,1,2,14,15,1,3,6666,2,6666,1,3,6666,6,5,6666,6666,6666,6666,6666,1,6666,11,5,6666,6666,2,6666,2,6666,6666,6666,5,6666,1,6666,1,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,10,6666,6666,6,11,1,6666,1,1,2,6666,6666,1,1,6666,6666,2,4,5,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9999,9999,9999,1,9999,2,9999,9999,9999,9999,1,2,6666,10,3,1,1,1,2,1,2,5,1,1,8,6,2,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,1,1,5,3,3,3,2,6,2,9999,2,9999,2,1,2,2,1,1,2,4,1,1,2,4,5,2,5,3,2,32,3,6666,1,2022,0.172459621802701,0.15560446594166,0.121967922167835,0.161581393357463,0.423191034,0.213210178465781
